SampleID,Source,reads_ChloroplastExcluded,richness,shannon_e
P_SLX20210914_009,Plant,27357,433,4.13
P_SLX20210914_012,Plant,9941,544,5.01
P_SLX20210914_015,Plant,20590,388,4.16
P_SLX20210914_016,Plant,1945,174,4.09
P_SLX20210914_017,Plant,2567,161,3.37
P_SLX20210914_018,Plant,458,62,1.71
P_SLX20210915_003,Plant,36237,381,3.57
P_SLX20210915_004,Plant,1316,126,2.65
P_SLX20210915_007,Plant,2477,222,3.76
P_SLX20210915_009,Plant,318,133,4.28
P_SLX20210915_013,Plant,12665,233,4.34
P_SLX20210915_014,Plant,8971,299,3.55
P_SLX20210915_018,Plant,3954,120,3.28
P_SLX20210915_019,Plant,103,24,1.38
P_SLX20210915_020,Plant,1730,162,3.36
P_SLX20210915_021,Plant,11648,250,3.97
P_SLX20210916_002,Plant,51440,612,4.65
P_SLX20210916_004,Plant,5550,222,3.2
P_SLX20210916_009,Plant,37173,662,5.1
P_SLX20210916_010,Plant,41702,315,3.41
P_SLX20210916_012,Plant,12228,117,2.27
P_SLX20210916_013,Plant,4443,224,3.92
P_SLX20210916_015,Plant,14446,284,3.95
P_SLX20210916_016,Plant,1887,90,3.34
P_SLX20210916_018,Plant,10439,193,2.73
P_ZCGS190803_001,Plant,36625,168,2.9
P_ZCGS190803_002,Plant,13370,675,4.5
P_ZCGS190803_008,Plant,6813,336,4.28
P_ZCGS190803_009,Plant,38245,500,2.89
P_ZCGS190803_010,Plant,29376,542,3.67
P_ZCGS190803_011,Plant,25822,436,2.83
P_ZCGS190803_012,Plant,29820,642,3.43
P_ZCGS190803_013,Plant,6694,472,4.55
P_ZCGS190805_002,Plant,20863,598,3.94
P_ZCGS190805_003,Plant,31891,691,4.8
P_ZCGS190805_006,Plant,9043,473,4.04
P_ZCGS190805_007,Plant,10177,393,3.85
P_ZDXG190726_002,Plant,16271,290,3.52
P_ZDXG190726_003,Plant,24585,174,3.13
P_ZDXG190726_004,Plant,24871,175,3.03
P_ZDXG190727_002,Plant,9741,399,2.75
P_ZDXG190727_003,Plant,23554,414,3.09
P_ZDXG190727_005,Plant,31786,516,3.29
P_ZDXG190727_008,Plant,4127,455,5.01
P_ZDXG190728_003,Plant,20465,352,4.35
P_ZDXG190728_005,Plant,30520,520,3.88
P_ZDXG190728_007,Plant,24917,413,3.99
P_ZDXG190728_008,Plant,20425,591,3.39
P_ZDXG190728_009,Plant,13531,587,4.64
P_ZDXG190730_002,Plant,1522,129,2.48
P_ZDXG190730_004,Plant,7266,245,3.5
P_ZDXG190730_007,Plant,27891,638,4.07
P_ZDXG190730_010,Plant,8759,286,2.14
P_ZDXG190730_011,Plant,19062,458,3.85
P_ZDXG190731_001,Plant,1624,105,2.81
P_ZDXG190731_004,Plant,8703,280,3.53
P_ZDXG190731_005,Plant,4957,318,2.49
P_ZDXG190731_007,Plant,19640,537,4.45
P_ZDXG190731_008,Plant,20669,329,1.58
P_ZDXG190731_009,Plant,34134,170,2.57
P_ZDXG190731_010,Plant,9263,79,2.74
P_ZDXG190801_002,Plant,6996,325,4.06
P_ZDXG190801_003,Plant,28830,521,3.51
P_ZDXG190801_004,Plant,27104,268,1.63
S_BJDLS190908_001,Soil,68781,3371,7.25
S_BJDLS190908_002,Soil,76692,3412,7.29
S_BJDLS190908_004,Soil,59545,3141,7.23
S_BJDLS190908_006,Soil,66057,3002,7.09
S_BJDLS190909_003,Soil,71000,3024,7.21
S_BJDLS190925_002,Soil,71439,2659,6.86
S_BJDLS190925_003,Soil,64652,2695,7.04
S_BJDLS190925_004,Soil,62656,2938,6.98
S_CMX20210729_001,Soil,10446,2222,7.01
S_CMX20210730_001,Soil,11302,1708,6.63
S_CMX20210730_004,Soil,39676,2595,6.8
S_CMX20210731_001,Soil,32502,2530,6.78
S_CMX20210731_002,Soil,45440,2476,6.81
S_CMX20210731_003,Soil,37983,2312,6.8
S_CMX20210731_004,Soil,10014,2015,6.96
S_CMX20210731_005,Soil,11687,1925,6.77
S_CMX20210801_005,Soil,36771,2377,6.53
S_CMX20210802_006,Soil,17429,2050,6.69
S_CMX20210803_001,Soil,29918,2737,7.13
S_CMX20210803_002,Soil,37136,2632,7.05
S_CMX20210803_003,Soil,38990,2255,6.83
S_CMX20210803_004,Soil,39033,2696,7.15
S_CMX20210803_005,Soil,11124,1900,6.93
S_CMX20210804_001,Soil,16603,2446,7.13
S_CMX20210804_002,Soil,31446,2507,7.01
S_CMX20210804_004,Soil,35513,2841,7.11
S_CMX20210804_007,Soil,43217,2927,7.23
S_CMX20210804_008,Soil,45368,2813,7.04
S_CMX20210804_009,Soil,13295,2036,6.98
S_CMX20210804_013,Soil,41387,2694,7.06
S_MFS20210910_001,Soil,38394,2272,6.52
S_MFS20210910_006,Soil,39856,2817,7.13
S_MFS20210911_001,Soil,12483,1634,6.18
S_MFS20210911_002,Soil,33934,2391,6.82
S_MFS20210911_003,Soil,30393,2609,7.05
S_MFS20210911_005,Soil,36105,2152,6.55
S_MFS20210911_006,Soil,9964,1647,6.61
S_MFS20210911_007,Soil,14824,1891,6.85
S_MFS20210911_008,Soil,26560,2261,6.97
S_MFS20210911_010,Soil,30404,2340,6.86
S_SLX20210913_001,Soil,31335,3082,7.3
S_SLX20210913_002,Soil,9040,1961,7.01
S_SLX20210913_003,Soil,12198,2253,7.09
S_SLX20210913_004,Soil,29269,2894,7.26
S_SLX20210913_005,Soil,28213,3057,7.22
S_SLX20210913_006,Soil,29911,2566,6.73
S_SLX20210913_007,Soil,37869,3100,7.24
S_SLX20210914_001,Soil,13247,2237,7.12
S_SLX20210914_003,Soil,34153,2881,7.17
S_SLX20210914_004,Soil,34948,2887,7.14
S_SLX20210914_006,Soil,36657,3125,7.33
S_SLX20210914_007,Soil,9335,1645,6.65
S_SLX20210914_008,Soil,12698,1848,6.9
S_SLX20210914_011,Soil,39285,2919,7.15
S_SLX20210914_014,Soil,15608,1950,6.83
S_SLX20210914_015,Soil,41191,3194,7.34
S_SLX20210914_016,Soil,34570,2570,7.03
S_SLX20210915_003,Soil,31503,3094,7.33
S_SLX20210915_004,Soil,12279,1816,6.69
S_SLX20210915_006,Soil,34900,2521,6.79
S_SLX20210915_008,Soil,33373,2358,6.7
S_SLX20210915_011,Soil,17456,2743,7.18
S_SLX20210915_012,Soil,47185,3119,7.22
S_SLX20210915_014,Soil,45581,2830,7.03
S_SLX20210915_015,Soil,36929,2531,6.85
S_SLX20210915_016,Soil,11981,1596,6.59
S_SLX20210916_002,Soil,39718,2245,5.99
S_SLX20210916_004,Soil,37575,2614,6.56
S_SLX20210916_008,Soil,40187,3422,7.35
S_SLX20210916_009,Soil,38060,2113,6.61
S_SLX20210916_011,Soil,10374,1474,6.47
S_SLX20210916_012,Soil,14737,2507,7.07
S_SLX20210916_014,Soil,44698,2720,6.94
S_SLX20210916_015,Soil,43647,2718,6.97
S_SLX20210916_016,Soil,44861,2913,7.02
S_ZCGS190803_001,Soil,77125,3281,7.23
S_ZCGS190803_002,Soil,89321,2134,6.49
S_ZCGS190803_007,Soil,59719,2767,6.86
S_ZCGS190803_008,Soil,40196,3008,7.15
S_ZCGS190803_009,Soil,104357,1977,5.77
S_ZCGS190803_010,Soil,73238,1481,5.7
S_ZCGS190805_002,Soil,45537,2982,7.11
S_ZCGS190805_003,Soil,66170,2531,6.68
S_ZCGS190805_004,Soil,72252,2310,6.46
S_ZDXG190725_004,Soil,80008,1482,5.93
S_ZDXG190726_002,Soil,48055,2897,7.11
S_ZDXG190727_001,Soil,48471,2249,6.47
S_ZDXG190727_002,Soil,72419,3418,7.2
S_ZDXG190727_004,Soil,74982,3061,6.97
S_ZDXG190727_006,Soil,85099,3549,7.25
S_ZDXG190728_002,Soil,50143,2964,7.12
S_ZDXG190728_004,Soil,42780,2849,7.1
S_ZDXG190728_005,Soil,55275,3270,7.26
S_ZDXG190728_006,Soil,78895,2620,6.9
S_ZDXG190730_001,Soil,84593,3569,7.2
S_ZDXG190730_003,Soil,57742,3094,7.15
S_ZDXG190730_004,Soil,35807,2886,7.13
S_ZDXG190730_005,Soil,60418,2858,7.02
S_ZDXG190731_001,Soil,75009,2804,6.76
S_ZDXG190731_004,Soil,43871,2593,6.95
S_ZDXG190731_005,Soil,54640,2723,6.99
S_ZDXG190731_007,Soil,34304,3101,7.34
S_ZDXG190731_008,Soil,80078,2874,6.93
S_ZDXG190731_009,Soil,62590,2448,5.95
S_ZDXG190731_010,Soil,42060,2880,6.96
S_ZDXG190801_002,Soil,35352,2487,6.76
