SampleID,Source,reads_ChloroplastExcluded,richness,shannon_e
L_SLX20210914_029,Larva,5217,105,1.09
L_SLX20210914_034,Larva,1615,64,2.08
L_SLX20210914_036,Larva,4479,84,1.13
L_SLX20210914_037,Larva,11872,134,0.57
L_SLX20210914_038,Larva,41808,82,0.501
L_SLX20210914_040,Larva,3236,60,1.5
L_SLX20210914_041,Larva,2082,62,0.799
L_SLX20210914_042,Larva,82488,213,1.91
L_SLX20210914_043,Larva,17293,362,3.7
L_SLX20210915_005,Larva,9425,83,1.56
L_SLX20210915_006,Larva,9816,203,1.37
L_SLX20210915_009,Larva,16271,267,1.8
L_SLX20210915_011,Larva,42065,154,0.478
L_SLX20210915_017,Larva,33849,112,0.443
L_SLX20210915_020,Larva,31554,177,0.639
L_SLX20210915_025,Larva,711,26,0.435
L_SLX20210915_026,Larva,6043,46,0.977
L_SLX20210915_027,Larva,2107,61,1.74
L_SLX20210915_028,Larva,8105,122,0.582
L_SLX20210915_033,Larva,54137,56,0.292
L_SLX20210915_034,Larva,53197,69,1.16
L_SLX20210915_035,Larva,16247,11,1.46
L_SLX20210915_036,Larva,2107,16,0.865
L_SLX20210915_037,Larva,2525,85,2.02
L_SLX20210915_038,Larva,4975,19,0.326
L_SLX20210915_040,Larva,31861,105,0.586
L_SLX20210915_041,Larva,3347,13,0.326
L_SLX20210915_042,Larva,617,7,0.503
L_SLX20210915_043,Larva,4099,57,1.69
L_SLX20210915_044,Larva,5845,46,1.23
L_SLX20210915_046,Larva,3398,82,1.24
L_SLX20210916_005,Larva,13183,11,0.656
L_SLX20210916_009,Larva,8869,139,1.72
L_SLX20210916_022,Larva,14936,311,3.74
L_SLX20210916_023,Larva,4241,304,3.11
L_SLX20210916_025,Larva,3405,126,0.92
L_SLX20210916_026,Larva,6821,138,1.37
L_SLX20210916_028,Larva,21983,206,3.4
L_SLX20210916_030,Larva,43256,196,0.835
L_SLX20210916_031,Larva,3359,82,0.985
L_SLX20210916_032,Larva,4134,128,1.01
L_SLX20210916_038,Larva,1251,46,1.03
L_SLX20210916_039,Larva,9410,58,0.497
L_SLX20210916_040,Larva,34166,221,0.851
L_SLX20210916_041,Larva,13561,45,0.625
L_ZCGS190803_001,Larva,1000,35,1.26
L_ZCGS190803_002_01,Larva,9047,161,1.32
L_ZCGS190803_002_02,Larva,7294,117,1.14
L_ZCGS190803_002_03,Larva,25085,204,1.11
L_ZCGS190803_003,Larva,41412,234,1.09
L_ZCGS190803_004,Larva,395,14,0.662
L_ZCGS190803_005,Larva,328,19,1.09
L_ZCGS190803_008,Larva,11682,18,1.9
L_ZCGS190803_009,Larva,1676,38,0.975
L_ZCGS190803_010,Larva,2244,38,0.582
L_ZCGS190803_014,Larva,423,17,0.866
L_ZCGS190803_015,Larva,841,60,1.7
L_ZCGS190803_019,Larva,46195,223,1.29
L_ZCGS190803_021,Larva,49501,413,2.75
L_ZCGS190803_022,Larva,31065,183,1.18
L_ZCGS190803_024,Larva,29977,297,1.7
L_ZCGS190803_025,Larva,332,71,3.26
L_ZCGS190803_026,Larva,265,32,1.97
L_ZCGS190803_029,Larva,25115,142,0.937
L_ZCGS190803_031,Larva,1635,49,1.24
L_ZCGS190805_004,Larva,41994,181,0.937
