OTU_ID,Occurrence_of_OTU_in_plant_samples(%),Average_relative_OTU_content_in_plant_samples(%),Occurrence_of_OTU_in_soil_samples(%),Average_relative_OTU_content_in_soil_samples(%),Log10_Average_relative_OTU_content_in_plant_samples,Log10_Average_relative_OTU_content_in_soil_samples
OTU_1161,0,0,77.41935484,0.06892047,NA,-1.161651768
OTU_1163,0,0,87.09677419,0.048230467,NA,-1.31667853
OTU_1164,35.8974359,0.018725038,29.03225806,0.002943282,-1.727577286,-2.531168175
OTU_1165,0,0,58.06451613,0.005844717,NA,-2.233236492
OTU_1166,10.25641026,0.010336774,77.41935484,0.008938544,-1.985614968,-2.048733218
OTU_1167,2.564102564,0.00509165,87.09677419,0.079980905,-2.293141457,-1.097013687
OTU_1168,0,0,22.58064516,0.082081499,NA,-1.085754721
OTU_1169,0,0,80.64516129,0.076781623,NA,-1.114742712
OTU_117,35.8974359,2.568911107,9.677419355,0.001760475,0.409749076,-2.754370138
OTU_1170,2.564102564,0.004013324,3.225806452,0.004392033,-2.396495778,-2.357334405
OTU_1172,0,0,58.06451613,0.07776376,NA,-1.109222747
OTU_1173,0,0,90.32258065,0.071731421,NA,-1.144290565
OTU_1175,2.564102564,0.004838163,32.25806452,0.00528243,-2.315319504,-2.27716629
OTU_1176,0,0,0,0,NA,NA
OTU_1177,5.128205128,0.006131211,35.48387097,0.005244693,-2.212453738,-2.280279928
OTU_1178,0,0,87.09677419,0.038575068,NA,-1.413693304
OTU_118,35.8974359,0.027460835,32.25806452,0.00338492,-1.561286256,-2.470451565
OTU_1180,2.564102564,0.007170772,74.19354839,0.033290335,-2.144434086,-1.477681831
OTU_1181,5.128205128,0.003307324,41.93548387,0.008381854,-2.480523258,-2.0766599
OTU_1183,25.64102564,0.009519907,25.80645161,0.002353736,-2.021367281,-2.628242319
OTU_1185,10.25641026,0.009504413,67.74193548,0.062402499,-2.022074712,-1.204798021
OTU_1186,10.25641026,0.069028452,45.16129032,0.051865235,-1.160971869,-1.285123653
OTU_1187,0,0,64.51612903,0.079146681,NA,-1.101567292
OTU_1189,23.07692308,0.049858757,45.16129032,0.004821372,-1.302258557,-2.316829333
OTU_119,0,0,0,0,NA,NA
OTU_1190,25.64102564,0.320069218,9.677419355,0.003293358,-0.494756091,-2.482361101
OTU_1191,0,0,54.83870968,0.013281068,NA,-1.87676699
OTU_1192,38.46153846,0.054576719,0,0,-1.262992573,NA
OTU_1194,0,0,83.87096774,0.083528858,NA,-1.078163457
OTU_1195,20.51282051,0.290034257,9.677419355,0.00403013,-0.537550704,-2.394680945
OTU_1199,7.692307692,0.046130487,96.77419355,0.024996642,-1.336011961,-1.602118337
OTU_12,0,0,0,0,NA,NA
OTU_120,0,0,0,0,NA,NA
OTU_1200,0,0,0,0,NA,NA
OTU_1202,0,0,3.225806452,0.001731842,NA,-2.761491732
OTU_1203,2.564102564,0.024431957,9.677419355,0.002763599,-1.612041745,-2.558524973
OTU_1204,0,0,64.51612903,0.041796967,NA,-1.378855231
OTU_1205,2.564102564,0.003353454,0,0,-2.474507647,NA
OTU_1206,2.564102564,0.020173492,77.41935484,0.090727363,-1.69521892,-1.042261712
OTU_1207,0,0,0,0,NA,NA
OTU_1208,2.564102564,0.002614721,0,0,-2.582574645,NA
OTU_1209,5.128205128,0.004711222,70.96774194,0.00618108,-2.326866431,-2.208935626
OTU_121,61.53846154,0.030892536,54.83870968,0.009838934,-1.510146433,-2.007051932
OTU_1210,0,0,83.87096774,0.078374699,NA,-1.105824112
OTU_1211,0,0,25.80645161,0.003753767,NA,-2.425532731
OTU_1212,0,0,45.16129032,0.006383929,NA,-2.194911947
OTU_1213,0,0,0,0,NA,NA
OTU_1214,5.128205128,0.009927412,12.90322581,0.001501946,-2.003163954,-2.823345826
OTU_1215,0,0,77.41935484,0.070374872,NA,-1.152582383
OTU_1216,0,0,74.19354839,0.07759554,NA,-1.110163239
OTU_1217,2.564102564,0.003135681,74.19354839,0.056412135,-2.503668126,-1.248627463
OTU_1218,2.564102564,0.006271362,0,0,-2.20263813,NA
OTU_1219,0,0,100,0.036309115,NA,-1.439984342
OTU_122,23.07692308,0.055890496,3.225806452,0.001380853,-1.252662039,-2.859852552
OTU_1220,33.33333333,0.063759,90.32258065,0.020968212,-1.195458504,-1.678438603
OTU_1221,0,0,3.225806452,0.001809136,NA,-2.742528784
OTU_1222,0,0,70.96774194,0.053545857,NA,-1.271274129
OTU_1223,0,0,93.5483871,0.029152876,NA,-1.535318587
OTU_1224,0,0,93.5483871,0.066092261,NA,-1.179849391
OTU_1226,2.564102564,0.020531773,93.5483871,0.010209552,-1.687573546,-1.990993323
OTU_1227,20.51282051,0.013395721,96.77419355,0.044992456,-1.873033906,-1.346860299
OTU_1228,17.94871795,0.07754333,0,0,-1.110455554,NA
OTU_123,0,0,3.225806452,0.00447823,NA,-2.348893605
OTU_1230,0,0,41.93548387,0.00355638,NA,-2.448991888
OTU_1231,0,0,70.96774194,0.049230337,NA,-1.307767195
OTU_1232,10.25641026,0.045082744,67.74193548,0.007522208,-1.345989661,-2.123654676
OTU_1233,0,0,41.93548387,0.120158873,NA,-0.920244154
OTU_1235,15.38461538,0.395920792,12.90322581,0.003811929,-0.402391691,-2.418855169
OTU_1236,0,0,67.74193548,0.087914161,NA,-1.055941163
OTU_1238,0,0,70.96774194,0.013181283,NA,-1.880042331
OTU_1239,46.15384615,0.352387791,0,0,-0.452979147,NA
OTU_124,30.76923077,0.13023009,29.03225806,0.002788504,-0.88528866,-2.554628745
OTU_1240,0,0,48.38709677,0.068950016,NA,-1.161465627
OTU_1241,30.76923077,0.017268694,0,0,-1.762740506,NA
OTU_1242,0,0,74.19354839,0.008617828,NA,-2.064602182
OTU_1243,5.128205128,0.01285097,80.64516129,0.023558526,-1.89106409,-1.627851884
OTU_1244,0,0,0,0,NA,NA
OTU_1245,0,0,67.74193548,0.062401954,NA,-1.204801814
OTU_1246,12.82051282,1.127764237,3.225806452,0.001333173,0.052218318,-2.87511349
OTU_1247,0,0,70.96774194,0.077006969,NA,-1.113469971
OTU_1248,25.64102564,0.498751085,22.58064516,0.002829578,-0.302116146,-2.548278264
OTU_1249,56.41025641,0.155140993,0,0,-0.809273432,NA
OTU_125,25.64102564,0.015727243,22.58064516,0.003415578,-1.803347411,-2.466535738
OTU_1251,10.25641026,0.014702562,0,0,-1.832606981,NA
OTU_1252,0,0,100,0.031436355,NA,-1.502567818
OTU_1254,17.94871795,0.018754385,96.77419355,0.02126825,-1.726897176,-1.67226824
OTU_1255,2.564102564,0.010492078,58.06451613,0.069282709,-1.979138489,-1.15937514
OTU_1256,0,0,67.74193548,0.078547523,NA,-1.104867506
OTU_1257,2.564102564,0.003872667,0,0,-2.411989845,NA
OTU_1258,5.128205128,0.007562899,0,0,-2.121311699,NA
OTU_1259,7.692307692,0.007695127,0,0,-2.113784227,NA
OTU_126,0,0,58.06451613,0.032006044,NA,-1.494768005
OTU_1260,0,0,96.77419355,0.048625033,NA,-1.313140087
OTU_1261,5.128205128,0.008872659,96.77419355,0.071456056,-2.051946209,-1.145960958
OTU_1262,0,0,64.51612903,0.064202026,NA,-1.19245127
OTU_1263,0,0,6.451612903,0.63182405,NA,-0.199403847
OTU_1264,0,0,96.77419355,0.088055864,NA,-1.055241718
OTU_1265,2.564102564,0.028587764,3.225806452,0.001182131,-1.543819812,-2.927334394
OTU_1266,2.564102564,0.020173492,0,0,-1.69521892,NA
OTU_1267,5.128205128,0.004325089,22.58064516,0.005062242,-2.364004951,-2.29565711
OTU_1268,0,0,70.96774194,0.055689352,NA,-1.254227833
OTU_1269,0,0,96.77419355,0.024225664,NA,-1.615724305
OTU_127,0,0,0,0,NA,NA
OTU_1272,0,0,16.12903226,0.022258139,NA,-1.652511158
OTU_1273,0,0,80.64516129,0.012749854,NA,-1.894494783
OTU_1275,82.05128205,0.154401063,58.06451613,0.004554561,-0.811349713,-2.341553466
OTU_1276,2.564102564,0.020173492,90.32258065,0.038494597,-1.69521892,-1.414600228
OTU_1278,0,0,87.09677419,0.05863465,NA,-1.231845666
OTU_1279,0,0,51.61290323,0.061627079,NA,-1.21022842
OTU_128,69.23076923,1.535527226,0,0,0.186257521,NA
OTU_1280,0,0,54.83870968,0.006095859,NA,-2.214965074
OTU_1281,28.20512821,0.018618661,0,0,-1.730051562,NA
OTU_1282,20.51282051,0.060102775,9.677419355,0.173183197,-1.221105473,-0.761494248
OTU_1283,0,0,70.96774194,0.059263317,NA,-1.227214044
OTU_1284,5.128205128,0.005542627,16.12903226,0.005193035,-2.256284386,-2.284578717
OTU_1285,5.128205128,1.774337289,0,0,0.24903618,NA
OTU_1286,2.564102564,0.020531773,96.77419355,0.031455293,-1.687573546,-1.502306267
OTU_1287,0,0,0,0,NA,NA
OTU_1288,0,0,58.06451613,0.041890108,NA,-1.377888516
OTU_1289,0,0,87.09677419,0.065485736,NA,-1.183853287
OTU_1290,15.38461538,0.019942705,0,0,-1.700215931,NA
OTU_1291,0,0,74.19354839,0.051920713,NA,-1.284659353
OTU_1293,2.564102564,0.007390437,41.93548387,0.002553748,-2.131329881,-2.592821934
OTU_1294,0,0,83.87096774,0.052289749,NA,-1.281583446
OTU_1296,0,0,64.51612903,0.010183005,NA,-1.992124037
OTU_1297,2.564102564,0.028587764,100,0.146136579,-1.543819812,-0.835241063
OTU_1299,0,0,100,0.041748407,NA,-1.379360096
OTU_13,15.38461538,0.636601957,0,0,-0.196132031,NA
OTU_130,7.692307692,0.016229418,0,0,-1.789697063,NA
OTU_1300,0,0,70.96774194,0.081629454,NA,-1.088153111
OTU_1301,5.128205128,0.018774133,96.77419355,0.054442207,-1.72644011,-1.264064275
OTU_1302,0,0,77.41935484,0.055340247,NA,-1.25695891
OTU_1303,7.692307692,0.014422167,16.12903226,0.003596278,-1.84096949,-2.444146695
OTU_1304,0,0,61.29032258,0.089742317,NA,-1.047002722
OTU_1305,0,0,16.12903226,0.00366011,NA,-2.436505886
OTU_1306,0,0,32.25806452,0.013945719,NA,-1.855559096
OTU_1307,2.564102564,0.020173492,0,0,-1.69521892,NA
OTU_1308,0,0,61.29032258,0.092016143,NA,-1.036135975
OTU_1309,23.07692308,0.399815272,6.451612903,0.001600254,-0.398140621,-2.795811214
OTU_131,0,0,0,0,NA,NA
OTU_1310,0,0,38.70967742,0.008272092,NA,-2.082384666
OTU_1312,15.38461538,0.031797264,3.225806452,0.00227941,-1.497610243,-2.642177551
OTU_1313,12.82051282,0.049383495,35.48387097,0.003130222,-1.306418175,-2.504424886
OTU_1315,2.564102564,0.003689492,64.51612903,0.014299416,-2.433033427,-1.844681704
OTU_1316,28.20512821,0.22754005,3.225806452,0.001296596,-0.64294215,-2.887195323
OTU_1317,0,0,0,0,NA,NA
OTU_1319,0,0,38.70967742,0.023927477,NA,-1.6211031
OTU_132,7.692307692,15.23564459,12.90322581,0.002665111,1.182860833,-2.574284657
OTU_1321,0,0,77.41935484,0.054529819,NA,-1.263365944
