OTU_ID,Occurrence_of_OTU_in_plant_samples(%),Average_relative_OTU_content_in_plant_samples(%),Occurrence_of_OTU_in_soil_samples(%),Average_relative_OTU_content_in_soil_samples(%),Log10_Average_relative_OTU_content_in_plant_samples,Log10_Average_relative_OTU_content_in_soil_samples
OTU_1032,0,0,4.545454545,0.002719534,NA,-2.565505507
OTU_1033,63.33333333,0.174664263,36.36363636,0.013648047,-0.757795945,-1.864929483
OTU_1034,0,0,100,0.223414129,NA,-0.650889366
OTU_1035,3.333333333,0.006090505,86.36363636,0.066569552,-2.215346696,-1.176724367
OTU_1036,0,0,22.72727273,0.006062784,NA,-2.217327904
OTU_1038,0,0,95.45454545,0.080891277,NA,-1.092098311
OTU_104,0,0,9.090909091,0.006095231,NA,-2.215009866
OTU_1040,0,0,81.81818182,0.017077378,NA,-1.767578818
OTU_1041,0,0,72.72727273,0.017784764,NA,-1.749951884
OTU_1042,46.66666667,0.035097772,22.72727273,0.005827543,-1.454720453,-2.234514483
OTU_1043,13.33333333,0.010902468,0,0,-1.962475179,NA
OTU_1044,0,0,68.18181818,0.010457915,NA,-1.980554876
OTU_1045,0,0,54.54545455,0.024562454,NA,-1.609728252
OTU_1046,60,0.248168838,9.090909091,0.007613036,-0.605252754,-2.118442145
OTU_1047,0,0,45.45454545,0.006974301,NA,-2.156499288
OTU_1048,0,0,86.36363636,0.027640115,NA,-1.55846016
OTU_1049,0,0,13.63636364,0.011237598,NA,-1.949326521
OTU_105,83.33333333,0.598995509,27.27272727,0.004515134,-0.222576433,-2.345329404
OTU_1050,13.33333333,0.008794319,0,0,-2.055797797,NA
OTU_1051,16.66666667,0.023394387,0,0,-1.630888326,NA
OTU_1053,46.66666667,0.048132163,31.81818182,0.00899641,-1.317564622,-2.04593076
OTU_1054,3.333333333,0.01525553,45.45454545,0.011561068,-1.8165727,-1.937002029
OTU_1055,0,0,9.090909091,0.020427052,NA,-1.689794306
OTU_1056,13.33333333,0.00300171,77.27272727,0.009783962,-2.522631268,-2.009485253
OTU_1057,0,0,100,0.179099548,NA,-0.746905511
OTU_1058,33.33333333,0.081241993,90.90909091,0.018139568,-1.090219433,-1.741373054
OTU_106,3.333333333,0.002222123,9.090909091,0.004185161,-2.653231905,-2.378287882
OTU_1060,0,0,0,0,NA,NA
OTU_1061,0,0,31.81818182,0.030204906,NA,-1.519922518
OTU_1062,0,0,45.45454545,0.015956284,NA,-1.797068232
OTU_1064,46.66666667,0.163836593,0,0,-0.785589091,NA
OTU_1066,0,0,0,0,NA,NA
OTU_1067,6.666666667,0.02077324,0,0,-1.682495772,NA
OTU_1068,0,0,0,0,NA,NA
OTU_1069,3.333333333,0.007240605,54.54545455,0.00743286,-2.140225144,-2.128844028
OTU_107,23.33333333,0.032537586,13.63636364,0.003640003,-1.487614675,-2.438898219
OTU_1070,0,0,4.545454545,0.002520415,NA,-2.598527944
OTU_1071,6.666666667,0.003106049,0,0,-2.507791697,NA
OTU_1072,3.333333333,0.003806551,86.36363636,0.183294341,-2.419468347,-0.736850944
OTU_1073,3.333333333,0.02173047,4.545454545,0.019146085,-1.66293088,-1.717920017
OTU_1074,0,0,0,0,NA,NA
OTU_1075,0,0,90.90909091,0.138093348,NA,-0.859827241
OTU_1076,50,0.193626799,0,0,-0.713034534,NA
OTU_1077,0,0,22.72727273,0.012649602,NA,-1.897923139
OTU_1079,0,0,95.45454545,0.146161073,NA,-0.835168277
OTU_108,0,0,59.09090909,0.022684634,NA,-1.644268219
OTU_1080,3.333333333,0.01525553,100,0.035870652,-1.8165727,-1.445260727
OTU_1081,0,0,0,0,NA,NA
OTU_1083,30,0.115316721,18.18181818,0.006859447,-0.938107716,-2.163710927
OTU_1084,73.33333333,0.159408792,0,0,-0.797487729,NA
OTU_1085,3.333333333,0.003806551,86.36363636,0.039046247,-2.419468347,-1.408420707
OTU_1086,0,0,9.090909091,0.002524488,NA,-2.597826775
OTU_1087,0,0,81.81818182,0.028313232,NA,-1.548010557
OTU_1089,3.333333333,0.006920176,81.81818182,0.012005567,-2.15988286,-1.920617326
OTU_1090,13.33333333,0.017665708,68.18181818,0.009094331,-1.752868959,-2.041229249
OTU_1091,66.66666667,0.209346962,0,0,-0.679133337,NA
OTU_1095,0,0,22.72727273,0.101560663,NA,-0.993274471
OTU_1096,0,0,9.090909091,0.004540017,NA,-2.342942569
OTU_1098,0,0,63.63636364,0.040512284,NA,-1.392413271
OTU_1099,0,0,45.45454545,0.006409366,NA,-2.193184962
OTU_110,86.66666667,0.696388855,13.63636364,0.003229954,-0.157148188,-2.490803618
OTU_1100,0,0,36.36363636,0.016899932,NA,-1.772115033
OTU_1101,0,0,95.45454545,0.050006579,NA,-1.300972855
OTU_1102,0,0,45.45454545,0.018815611,NA,-1.725481686
OTU_1104,0,0,36.36363636,0.010535053,NA,-1.977363285
OTU_1105,0,0,59.09090909,0.02555299,NA,-1.592558282
OTU_1106,0,0,40.90909091,0.031177431,NA,-1.506159667
OTU_1107,0,0,59.09090909,0.012775501,NA,-1.893622073
OTU_1108,0,0,0,0,NA,NA
OTU_1109,0,0,9.090909091,0.017079098,NA,-1.767535069
OTU_111,6.666666667,0.08026281,9.090909091,0.002997963,-1.09548564,-2.523173804
OTU_1111,0,0,22.72727273,0.016895764,NA,-1.772222165
OTU_1112,26.66666667,0.038337863,31.81818182,0.009922706,-1.416372099,-2.003369895
OTU_1113,0,0,95.45454545,0.056216334,NA,-1.250137477
OTU_1114,0,0,100,0.108269292,NA,-0.965494705
OTU_1116,0,0,0,0,NA,NA
