OTU_ID,Occurrence_of_OTU_in_plant_samples(%),Average_relative_OTU_content_in_plant_samples(%),Occurrence_of_OTU_in_soil_samples(%),Average_relative_OTU_content_in_soil_samples(%),Log10_Average_relative_OTU_content_in_plant_samples,Log10_Average_relative_OTU_content_in_soil_samples
OTU_1154,58.90410959,0.13860321,3.773584906,0.002710214,-0.858226711,-2.566996416
OTU_1156,4.109589041,0.088535714,100,0.086692509,-1.052881504,-1.062018429
OTU_1157,0,0,96.22641509,0.038872588,NA,-1.410356539
OTU_1158,0,0,0,0,NA,NA
OTU_1159,46.57534247,0.124146477,22.64150943,0.00462609,-0.906065601,-2.334785891
OTU_116,1.369863014,0.002469014,0,0,-2.607476447,NA
OTU_1160,6.849315068,0.043889254,37.73584906,0.010665618,-1.357641799,-1.972013977
OTU_1161,0,0,24.52830189,0.009091812,NA,-2.041349561
OTU_1163,0,0,9.433962264,0.008170099,NA,-2.087772692
OTU_1164,17.80821918,0.05616491,56.60377358,0.009910901,-1.250534933,-2.003886862
OTU_1165,2.739726027,0.319495084,94.33962264,0.094310342,-0.49553582,-1.025440681
OTU_1166,1.369863014,0.007212665,96.22641509,0.051542339,-2.141904239,-1.287835874
OTU_1167,0,0,49.05660377,0.01653913,NA,-1.781487333
OTU_1168,0,0,92.45283019,0.040319108,NA,-1.394489083
OTU_1169,0,0,1.886792453,0.006785642,NA,-2.168409057
OTU_117,1.369863014,0.002394005,30.18867925,0.005802921,-2.620874947,-2.236353328
OTU_1170,5.479452055,0.018178708,1.886792453,0.001513844,-1.740436992,-2.819918876
OTU_1172,0,0,39.62264151,0.023352838,NA,-1.631660328
OTU_1173,0,0,56.60377358,0.023250937,NA,-1.633559544
OTU_1175,4.109589041,0.047125748,98.11320755,0.079149001,-1.326741743,-1.10155456
OTU_1176,1.369863014,0.15605841,0,0,-0.806712822,NA
OTU_1177,30.1369863,0.042085464,96.22641509,0.058147235,-1.375867879,-1.23547093
OTU_1178,0,0,88.67924528,0.039214423,NA,-1.406554174
OTU_118,60.2739726,0.341063951,20.75471698,0.007519975,-0.467164181,-2.123783624
OTU_1180,0,0,90.56603774,0.056000216,NA,-1.251810298
OTU_1181,2.739726027,0.084472314,54.71698113,0.028044517,-1.073285609,-1.552152035
OTU_1183,9.589041096,0.032964376,77.35849057,0.014174679,-1.481955137,-1.848486774
OTU_1185,0,0,3.773584906,0.003002298,NA,-2.522546203
OTU_1186,0,0,18.86792453,0.006781687,NA,-2.168662252
OTU_1187,0,0,0,0,NA,NA
OTU_1189,5.479452055,0.017898828,47.16981132,0.008569846,-1.747175417,-2.067026996
OTU_119,0,0,0,0,NA,NA
OTU_1190,6.849315068,0.078606329,1.886792453,0.00251775,-1.104542487,-2.598987395
OTU_1191,0,0,96.22641509,0.048910693,NA,-1.310596184
OTU_1192,0,0,0,0,NA,NA
OTU_1194,0,0,3.773584906,0.002708184,NA,-2.567321912
OTU_1195,10.95890411,0.051198024,0,0,-1.290746801,NA
OTU_1199,0,0,92.45283019,0.021130789,NA,-1.675084282
OTU_12,5.479452055,0.084773551,0,0,-1.071739626,NA
OTU_120,0,0,0,0,NA,NA
OTU_1200,0,0,0,0,NA,NA
OTU_1202,0,0,71.69811321,0.034849564,NA,-1.457802654
OTU_1203,4.109589041,0.005269669,0,0,-2.27821669,NA
OTU_1204,0,0,73.58490566,0.043512974,NA,-1.361381232
OTU_1205,19.17808219,0.090632508,0,0,-1.042716001,NA
OTU_1206,0,0,49.05660377,0.013568695,NA,-1.867461936
OTU_1207,20.54794521,0.234386254,0,0,-0.630067862,NA
OTU_1208,36.98630137,0.104815014,0,0,-0.979576504,NA
OTU_1209,0,0,83.01886792,0.047740754,NA,-1.321110722
OTU_121,13.69863014,0.006291368,5.660377358,0.002447382,-2.201254897,-2.611298238
OTU_1210,0,0,73.58490566,0.021842058,NA,-1.660706454
OTU_1211,0,0,77.35849057,0.076403047,NA,-1.116889323
OTU_1212,0,0,86.79245283,0.03408411,NA,-1.467448042
OTU_1213,4.109589041,0.02756786,0,0,-1.559596951,NA
OTU_1214,1.369863014,0.003655372,86.79245283,0.092625949,-2.437068419,-1.033267328
OTU_1215,0,0,41.50943396,0.0183383,NA,-1.736640935
OTU_1216,0,0,13.20754717,0.007075273,NA,-2.150256824
OTU_1217,0,0,43.39622642,0.006427764,NA,-2.191940086
OTU_1218,9.589041096,0.635750932,0,0,-0.196712994,NA
OTU_1219,0,0,66.03773585,0.024020819,NA,-1.619412188
